ID,標題,網址,來源,爬取時間
31,網頁快取與代理伺服器軟體 Squid被找出存在29年的漏洞，HTTP存取的密碼與金鑰可能全都被看光光！,https://www.ithome.com.tw/news/176744,iThome,2026-06-22 09:36:17
32,FortiBleed曝光逾7萬臺Fortinet設備憑證資料，臺灣受影響數量居全球第三,https://www.ithome.com.tw/news/176718,iThome,2026-06-22 09:36:17
33,Node.js揭露與修補12個漏洞，當中涵蓋兩個高風險漏洞,https://www.ithome.com.tw/news/176743,iThome,2026-06-22 09:36:17
34,F5針對Nginx發布緊急安全更新，揭露與修補兩個重大漏洞,https://www.ithome.com.tw/news/176739,iThome,2026-06-22 09:36:17
35,Splunk近期9.8分重大漏洞被CISA列入KEV，6月21日須完成修補,https://www.ithome.com.tw/news/176740,iThome,2026-06-22 09:36:17
36,【資安週報】0615~0618，發現中國駭客入侵關鍵基礎設施，潛伏隔離網路環境近十年,https://www.ithome.com.tw/news/176729,iThome,2026-06-22 09:36:17
37,因應FortiBleed外洩大量Fortinet設備登入憑證，英國NCSC建議企業可先用兩款工具自行檢測是否名列其中,https://www.ithome.com.tw/news/176757,iThome,2026-06-22 09:36:17
38,MedTech醫療科技雙周報第51期：健保署今年將擴增LOINC上傳欄位、醫學中心優先試傳,https://www.ithome.com.tw/news/176723,iThome,2026-06-22 09:36:17
39,【資安週報】0608-0612，全球漏洞治理迎來新變革，美國CISA開始勒令高風險漏洞3天內須修補,https://www.ithome.com.tw/news/176582,iThome,2026-06-22 09:36:17
40,【資安週報】0601~0605，漏洞問題成國家嚴防風險，印度要求企業組織在關鍵漏洞公布12小時內完成修補,https://www.ithome.com.tw/news/176407,iThome,2026-06-22 09:36:17
41,【資安週報】0525~0529，企業簡訊平臺EVERY8D遭駭引爆國家級供應鏈危機，F-ISAC發布黃燈級資安事件警訊,https://www.ithome.com.tw/news/176215,iThome,2026-06-22 09:36:17
42,沒有公雲帳單，私有雲如何落實FinOps？國泰世華銀行SRE用監控數據支援治理決策,https://www.ithome.com.tw/news/176779,iThome,2026-06-22 09:36:17
43,推動太空系統網路安全，MITRE透露鋼鐵城與Project 60計畫,https://www.ithome.com.tw/news/176776,iThome,2026-06-22 09:36:17
44,新攻擊手法AutoJack可讓惡意網頁透過AI代理觸發本機程式執行,https://www.ithome.com.tw/news/176772,iThome,2026-06-22 09:36:17
45,【資安日報】6月22日，FortiBleed暴露逾7萬臺Fortinet設備憑證,https://www.ithome.com.tw/news/176771,iThome,2026-06-22 09:36:17
46,國際刑警組織示警亞洲與南太平洋網路犯罪升溫，AI與憑證竊取擴大攻擊鏈,https://www.ithome.com.tw/news/176770,iThome,2026-06-22 09:36:17
47,美CISA公布因應FortiBleed的五大措施，要求企業重設帳密並升級至PBKDF2雜湊機制,https://www.ithome.com.tw/news/176765,iThome,2026-06-22 09:36:17
